Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2023,"Randal Grichuk","2 Tms",131,0,0,0,1,0.145038167,0.122137404,0,0,0.26717557,0.32824427,0.40458015,0.22900763,0.39694656,0.3740458,10243
2023,"Brandon Belt","TOR",94,0,0,0,1,0.053191489,0.202127659,0,0,0.29787234,0.34042553,0.36170213,0.07446809,0.5,0.42553191,10264
2023,"Marcell Ozuna","ATL",162,0,0,0,1,0.104938271,0.24691358,0,0,0.2962963,0.29012346,0.41358025,0.14197531,0.35185185,0.50617284,10324
2023,"Enrique Hernandez","2 Tms",163,0,0,0,1,0.116564417,0.067484662,0,0,0.22699387,0.3803681,0.39263804,0.22699387,0.53374233,0.2392638,10472
2023,"Jurickson Profar","2 Tms",139,0,0,0,1,0.143884892,0.064748201,0,0,0.32374101,0.35251799,0.32374101,0.29496403,0.37410072,0.33093525,10815
2023,"Adam Duvall","BOS",122,0,0,0,1,0.172131147,0.155737704,0,0,0.48360656,0.28688525,0.2295082,0.2704918,0.43442623,0.29508197,10950
2023,"Kevin Kiermaier","TOR",72,0,0,0,1,0.041666666,0.111111111,0,0,0.30555556,0.36111111,0.33333333,0.18055556,0.54166667,0.27777778,11038
2023,"Whit Merrifield","TOR",169,0,0,0,1,0.088757396,0.065088757,0,0,0.20710059,0.39053254,0.40236686,0.17751479,0.61538462,0.20710059,11281
2023,"Yasmani Grandal","CHW",102,0,0,0,1,0.049019607,0.078431372,0,0,0.20588235,0.38235294,0.41176471,0.12745098,0.57843137,0.29411765,11368
2023,"Gary Sanchez","2 Tms",82,0,0,0,1,0.146341463,0.219512195,0,0,0.30487805,0.42682927,0.26829268,0.2195122,0.3902439,0.3902439,11442
2023,"Mark Canha","2 Tms",144,0,0,0,1,0.138888888,0.076388888,0,0,0.29861111,0.38194444,0.31944444,0.22222222,0.47916667,0.29861111,11445
2023,"Christian Yelich","MIL",94,0,0,0,1,0.053191489,0.202127659,0,0,0.10638298,0.30851064,0.58510638,0.13829787,0.30851064,0.55319149,11477
2023,"Michael A. Taylor","MIN",87,0,0,0,1,0.103448275,0.24137931,0,0,0.26436782,0.42528736,0.31034483,0.14942529,0.37931034,0.47126437,11489
