"last_name, first_name","player_id","year","pa","home_run","xwobacon","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","avg_best_speed","oz_contact_percent","whiff_percent","flyballs_percent"
"Cabrera, Miguel","408234","2023","370","4",".337","89.1",4.2,37.6,"98.972070682",56.2,25.6,18.3
"Peralta, David","444482","2023","422","7",".352","89.3",4.9,44.2,"100.838135399",61.2,22.5,21.6
"Blackmon, Charlie","453568","2023","413","8",".340","86.4",4.9,31.5,"97.605451688",65.6,19.6,25.6
"Maldonado, Martín","455117","2023","407","15",".370","88.4",8.5,40,"99.511383636",42.7,34.1,31.5
"Solano, Donovan","456781","2023","450","5",".406","90.2",6.1,43.7,"100.102935676",55,25.4,23.1
"McCutchen, Andrew","457705","2023","473","12",".382","89.6",6.8,44.6,"100.329192449",46.2,27.4,27.2
"Turner, Justin","457759","2023","626","23",".367","89.5",5.7,39,"98.567368238",68.9,17.5,33
"Andrus, Elvis","462101","2023","406","6",".290","87.5",2.6,31,"97.859729735",60.9,20,19.9
"Santana, Carlos","467793","2023","619","23",".323","88.8",6.7,36.4,"99.367236",65.1,22.1,24.2
"Belt, Brandon","474832","2023","404","19",".462","88.7",15,40,"100.691962551",42.1,32.3,39
"Gurriel Jr., Yuli","493329","2023","329","4",".280","88.6",1.9,34.9,"97.568536744",72.7,16,24.4
"Rojas, Miguel","500743","2023","423","5",".291","87.3",2.9,32,"97.505333176",67.9,16.5,20.9
"Escobar, Eduardo","500871","2023","309","6",".296","86.3",3.8,30.6,"96.536556538",62.2,28.1,27.2
"Pham, Tommy","502054","2023","481","16",".429","92.3",10.7,49.1,"103.076305767",48.5,23.6,21.5
"Martinez, J.D.","502110","2023","479","33",".518","93.4",17.1,55.1,"103.470071027",41.4,34.4,37
"Goldschmidt, Paul","502671","2023","687","25",".440","91.3",12,50.8,"102.40959555",62.8,27.5,26.9
"Altuve, Jose","514888","2023","410","17",".350","86",8.3,31.4,"97.888341268",71.6,18.7,21.7
"Segura, Jean","516416","2023","326","3",".295","88",3.5,38.8,"99.845816452",68.9,19.2,15.7
"Marte, Starling","516782","2023","341","5",".363","88.2",5.6,39.5,"100.135976281",52.8,27.4,24.6
"Freeman, Freddie","518692","2023","730","29",".461","90",11.1,42.2,"100.590638269",63.1,20.4,29.6
"Grandal, Yasmani","518735","2023","405","8",".311","87.9",4.7,34.4,"98.280329643",58.2,24.9,25.4
"Heyward, Jason","518792","2023","377","15",".344","87.7",8.1,37.4,"99.253685693",63.4,20.7,21.6
"LeMahieu, DJ","518934","2023","562","15",".369","89.6",5.9,43,"100.265359786",63.1,19.7,17.4
"Moustakas, Mike","519058","2023","386","12",".327","89",5.7,37.9,"99.28083626",54.7,27.3,29.1
"Rizzo, Anthony","519203","2023","421","12",".367","90",6.9,37.5,"99.161259855",58.6,25,30.7
