"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Díaz, Yandy","650490","433","5.7",30.5,"114.5","93.4","104.3","95.1","92.9","440","149","404","234",54,"41",9.5,6.8
"Happ, Ian","664023","433","13",36.5,"112.6","89.9","99.7","94.2","86","429","165","403","169",39,"39",9,5.6
"Kim, Ha-Seong","673490","424","13.6",35.8,"108.5","86.2","96.6","90.6","83.8","425","164","384","113",26.7,"18",4.2,2.9
"Bellinger, Cody","641355","424","17.2",38,"109.2","87.9","97.7","91","84.7","438","184","397","133",31.4,"26",6.1,4.7
"Alonso, Pete","624413","421","18.2",32.3,"115.7","89.5","102.3","95.6","84.4","466","185","410","169",40.1,"62",14.7,9.4
"Hernández, Teoscar","606192","421","12.3",35.2,"112.6","91.3","103","97.4","85.4","446","173","408","208",49.4,"58",13.8,8.6
"Tovar, Ezequiel","678662","420","12.6",36.4,"109.8","88","99","91.6","84.9","447","170","407","152",36.2,"34",8.1,5.5
"Contreras, William","661388","417","4.7",27.1,"113.9","91.3","103.2","96.2","88.4","456","138","410","203",48.7,"39",9.4,6.4
"Abreu, José","547989","416","10.8",32.5,"113.3","89","100.8","93","86.7","452","159","403","173",41.6,"36",8.7,6.1
"Bell, Josh","605137","416","9.3",31.3,"114","90.1","101.6","93.4","87.7","464","157","401","179",43,"42",10.1,6.8
"Rosario, Amed","642708","414","7.6",33.8,"110.5","88.3","99.5","92.2","87.1","408","148","379","163",39.4,"14",3.4,2.6
"Crawford, J.P.","641487","414","15.1",35,"110.1","88.3","99.1","90.8","88.4","432","165","386","150",36.2,"20",4.8,3.1
"Swanson, Dansby","621020","413","13",35.1,"109.1","89.3","99.8","95.1","84","429","167","393","164",39.7,"45",10.9,7.1
"Yelich, Christian","592885","411","3.5",30.4,"113.5","91.7","103.2","96.7","89.4","439","138","396","206",50.1,"38",9.2,6
"Perez, Salvador","521692","411","15.6",38,"113.1","90.1","101.4","93.8","86.8","462","188","406","181",44,"36",8.8,6.2
"Friedl, TJ","670770","409","16.1",31.1,"107.1","86.7","96.4","88.6","87.3","419","154","386","113",27.6,"13",3.2,2.3
"Harris II, Michael","671739","408","7.6",34.3,"113.9","90.9","103.6","94.9","89.2","453","155","412","198",48.5,"41",10,7.6
"Henderson, Gunnar","683002","404","11.4",32.9,"113.8","92","102.7","95.3","89.9","462","169","401","210",52,"46",11.4,7.4
"Edman, Tommy","669242","402","7.5",27.9,"111.2","89.1","99.5","92.4","88.1","424","142","391","156",38.8,"20",5,3.8
"Taveras, Leody","665750","401","10.2",35.2,"112.2","90.1","100.6","91.9","89.2","436","164","401","173",43.1,"29",7.2,5.2
"Dubón, Mauricio","643289","400","9.5",37,"107","87","97","89.2","85.8","409","154","388","118",29.5,"18",4.5,3.7
"Arozarena, Randy","668227","400","11.3",31.8,"114.3","91.7","102.1","96.1","88.9","448","168","401","193",48.4,"49",12.3,7.5
"Ozuna, Marcell","542303","398","15.6",34.9,"115.3","91.8","103.3","96.6","86.1","452","185","410","195",49,"66",16.6,11.1
"Varsho, Daulton","662139","396","20.5",33.6,"112.5","87.8","99.9","92.2","84.2","446","170","398","143",36.1,"29",7.3,5
"Suárez, Eugenio","553993","395","18.9",37.7,"111.1","90.3","100.7","94.5","84.9","434","194","400","170",43,"52",13.2,7.5
"García Jr., Luis","671277","395","4.6",31.9,"110","88.3","99.2","92.9","85.1","430","139","387","144",36.5,"23",5.8,4.8
"Seager, Corey","608369","395","13",38,"114.4","93.3","103.5","97.1","89","453","190","407","210",53.2,"60",15.2,11.2
"Adames, Willy","642715","394","18.2",35,"109.8","87.4","99.1","93","81.3","430","182","400","144",36.5,"49",12.4,7.7
"Hayes, Ke'Bryan","663647","393","13.2",34.1,"113.1","92.2","101.7","94.5","91.2","440","175","398","190",48.3,"29",7.4,5.5
"Suzuki, Seiya","673548","392","10.8",36.5,"114.6","91.4","102.2","94.2","89.6","432","170","399","188",48,"41",10.5,7
"Naylor, Josh","647304","391","12.3",35.5,"113.9","89.1","100.6","92.9","87.4","442","167","398","161",41.2,"32",8.2,6.5
"Arcia, Orlando","606115","389","5.4",30.6,"109.4","88.2","99.2","92.7","85.9","427","140","409","160",41.1,"27",6.9,5.1
"Paredes, Isaac","670623","389","22.2",32.4,"107.7","86.9","96.4","91.4","83.8","427","177","378","111",28.5,"23",5.9,4
"Báez, Javier","595879","388","9.4",28.9,"113.1","88","100.2","92.9","84.7","434","145","396","153",39.7,"20",5.2,3.7
"Smith, Will","669257","387","15.6",37.5,"110.8","89.3","99.6","92.6","86.6","417","183","391","161",41.6,"26",6.7,4.7
"Correa, Carlos","621043","386","10.6",31.1,"114.2","90.4","102.5","95","88.3","439","160","399","177",45.9,"37",9.6,6.4
"García, Adolis","666969","386","15.7",36,"115.1","92.1","102.9","95.9","88.3","448","192","407","192",49.7,"62",16.1,9.8
"Hays, Austin","669720","384","10.4",31,"111","89.4","100.5","93.1","86.8","439","163","397","154",40.1,"34",8.9,6
"Candelario, Jeimer","600869","382","14.1",36.9,"111.3","88.3","99.2","93.1","84.6","443","175","400","139",36.4,"30",7.9,5.2
"Franco, Wander","677551","377","8.9",35,"111","89.4","99.9","93.8","85.9","448","155","395","162",43,"29",7.7,5.9
"Brennan, Will","686823","377","9.4",35.8,"106.9","85.7","96.5","90.3","83.4","406","149","384","110",29.2,"9",2.4,2
"Straw, Myles","664702","377","9.4",32.9,"106.2","86.3","95.1","87.8","86","385","143","380","88",23.3,"2",0.5,0.4
"Estrada, Thairo","642731","377","10.8",34.5,"110.5","85.9","97.9","90.6","82.6","441","155","402","127",33.7,"18",4.8,3.4
"Volpe, Anthony","683011","377","14.2",35.5,"108.7","88.7","99.5","93.6","84.4","419","169","383","162",43,"34",9,5.7
"Robert Jr., Luis","673357","376","16.1",38,"113.6","89.1","101.8","94.3","84.3","450","187","404","159",42.3,"58",15.4,9.7
"Renfroe, Hunter","592669","376","15",29.5,"113.2","88.3","100.5","92.2","87.5","430","161","390","146",39.1,"23",6.1,4.2
"Hernández, Enrique","571771","374","17",31,"109.2","87.8","97.8","90.4","87.4","431","169","395","126",33.7,"17",4.5,3.3
"Profar, Jurickson","595777","374","14.8",37.7,"108.8","86.5","97.2","90","84.9","417","164","391","119",31.8,"15",4,2.9
"LeMahieu, DJ","518934","374","3.8",31.6,"111.2","89.6","100.3","93.4","87.8","411","135","381","161",43,"22",5.9,3.9
"Schwarber, Kyle","656941","373","19",34.3,"115.2","92.4","103.4","96.6","89","483","191","407","182",48.8,"61",16.4,8.5
"Anderson, Tim","641313","373","2",32.4,"109.6","87.8","99.2","92.3","85.3","429","119","429","147",39.4,"11",2.9,2.1
"Díaz, Elias","553869","372","12.7",31.2,"111.7","88.1","100","91.6","87.5","453","157","415","143",38.4,"23",6.2,4.4
"Vierling, Matt","663837","369","9.1",32.2,"113","89.1","100.6","91.7","88.6","448","146","415","157",42.8,"17",4.6,3.2
"Melendez, MJ","669004","367","16.9",34.6,"113.2","93.2","101.4","95.8","90.1","445","196","409","182",49.6,"42",11.4,7
"Cronenworth, Jake","630105","367","15.2",35.7,"108.4","87.4","97.7","91","83.7","414","174","391","122",33.2,"16",4.4,3.1
"Soler, Jorge","624585","367","17.8",36.5,"114.8","91.3","103.1","96.1","86.7","468","195","411","176",48,"55",15,9.5
"Jiménez, Eloy","650391","365","5.7",26,"113.5","90.9","103.2","95.3","90.3","434","139","406","171",46.8,"34",9.3,7
"Heim, Jonah","641680","364","17.3",34.3,"110.3","89.2","99.2","92.2","87.3","433","182","401","140",38.5,"29",8,5.8
"Canha, Mark","592192","362","13.1",30.9,"109.4","87.9","99","91.5","87.2","436","156","388","133",36.7,"17",4.7,3.4
"McMahon, Ryan","641857","360","9.7",39.4,"113.2","90.8","102","95.2","85.5","473","176","420","159",44.2,"41",11.4,6.5
"Garcia, Maikel","672580","360","6.1",36.9,"110","91.8","101.5","95.5","89.4","413","150","391","182",50.6,"14",3.9,2.7
"Rosario, Eddie","592696","359","14.5",35.9,"110.4","88.6","98.6","93.3","83.5","443","175","401","127",35.4,"34",9.5,6.6
"Ohtani, Shohei","660271","357","13.2",35.6,"118.6","94.4","105.7","99.3","89.8","493","187","422","193",54.2,"70",19.6,11.7
"McKinstry, Zach","656716","356","17.8",36.8,"108.3","87.2","97.7","89.2","84.9","435","185","388","119",33.5,"27",7.6,5.2
"Realmuto, J.T.","592663","356","16.7",36.2,"110.6","89.8","101.3","95","86","448","181","404","154",43.3,"40",11.2,7.4
"Raleigh, Cal","663728","356","20.3",36.5,"113.7","89.5","101","94.4","84.3","450","192","395","146",41,"45",12.6,7.9
"Ruiz, Esteury","665923","355","9.9",32.4,"109.5","82.7","94","86.8","80.2","415","131","403","71",20,"9",2.5,1.8
"Drury, Brandon","592273","354","11.8",35,"112.5","89.9","101.8","94.6","86.6","441","170","398","164",46.3,"39",11,7.5
"India, Jonathan","663697","352","15.2",37.2,"111.4","89.5","99.7","93.2","86.9","430","173","393","136",38.6,"27",7.7,5.1
"Frazier, Adam","624428","350","15.2",40.6,"106.7","85.7","95.3","88.2","84.1","413","171","381","82",23.4,"11",3.1,2.4
"Burger, Jake","669394","347","12.3",33.4,"118.2","91.9","105","97.8","89.5","461","167","402","172",49.6,"58",16.7,10.7
"Chapman, Matt","656305","346","18.5",32.4,"114.3","93.4","103.5","98.1","90.3","423","182","388","195",56.4,"59",17.1,10.2
"Flores, Wilmer","527038","345","22",36.2,"108.7","86.4","97.4","90.9","84.2","420","185","393","112",32.5,"27",7.8,5.9
"Lowe, Josh","666139","345","14.3",36.2,"113.3","89.1","100.6","91.9","87.3","455","176","411","137",39.7,"38",11,7.6
"Rojas, Miguel","500743","344","11",33.4,"108.7","87.3","97.5","89.7","87.1","398","152","386","110",32,"10",2.9,2.4
"Harper, Bryce","547180","342","9.1",36.8,"115.7","91.8","103.8","97.1","87.3","451","163","409","160",46.8,"52",15.2,9.5
"Wade Jr., LaMonte","664774","342","17.4",33.3,"111.5","88.4","99.5","92.6","84","474","171","399","136",39.8,"31",9.1,6
"Grichuk, Randal","545341","340","14",35,"112.1","89.6","101.5","92.6","88.1","445","169","401","154",45.3,"24",7.1,5.1
"Perdomo, Geraldo","672695","339","16.4",34.8,"104.9","85.7","94.6","88.2","83.9","413","157","385","66",19.5,"3",0.9,0.6
"Kepler, Max","596146","336","14.7",35.7,"111.7","91.9","102.1","94.5","90","440","192","408","161",47.9,"41",12.2,8.4
"Muncy, Max","571970","335","21.7",33.7,"111.1","91.2","101.3","96.1","84.7","435","194","399","156",46.6,"49",14.6,8.5
"Davis, J.D.","605204","334","7.8",33.5,"111.3","91.1","101.4","94.6","89.1","441","150","396","151",45.2,"32",9.6,5.9
"Massey, Michael","686681","334","19.7",38,"110.3","88.6","99.5","92","86.2","441","185","401","132",39.5,"26",7.8,5.6
"Nootbaar, Lars","663457","331","7.2",30.8,"112.2","89.1","100.3","94.7","84.7","449","154","410","125",37.8,"29",8.8,5.8
"Stephenson, Tyler","663886","331","8.9",33.5,"111.1","89.4","100","94.7","84.4","428","158","385","144",43.5,"25",7.6,4.8
"Kemp, Tony","643393","329","10",30.7,"103","86.7","94.7","90.4","84.2","407","151","382","67",20.4,"4",1.2,1
"Jung, Josh","673962","329","15",41.9,"110","91.8","101.6","94.7","88.6","444","193","401","156",47.4,"39",11.9,7.6
"Kirk, Alejandro","672386","329","6.3",31.9,"108.3","87.6","98.5","91.1","86","410","146","382","126",38.3,"17",5.2,4
"Peralta, David","444482","328","8.2",31.1,"111.5","89.3","100.8","92.8","87.2","415","151","403","145",44.2,"16",4.9,3.8
"Ramírez, Harold","623912","327","6.1",29.4,"112.5","89.1","100.4","91.9","87.6","441","137","398","133",40.7,"15",4.6,3.5
"Pham, Tommy","502054","326","5.7",34.4,"113.7","92.3","103.1","95.1","90.1","433","157","400","160",49.1,"35",10.7,7.3
"Mountcastle, Ryan","663624","323","12",35.9,"114.6","91.4","102.2","95.2","88.3","472","174","416","145",44.9,"39",12.1,8.3
"Alvarez, Yordan","670541","322","17.1",35.7,"117.7","93.3","104.6","96.8","88.7","452","201","406","168",52.2,"58",18,11.7
"Grisham, Trent","663757","320","18.3",31.9,"112.3","90.3","100.7","95.8","85.6","424","173","399","128",40,"38",11.9,6.8
"Contreras, Willson","575929","320","10.1",34.1,"117.5","91.3","103.9","96.4","88.5","461","155","409","150",46.9,"39",12.2,7.9
"Walker, Jordan","691023","318","10.2",33.6,"114.3","89.4","101.9","92.8","87.8","444","163","403","135",42.5,"24",7.5,5.2
"Rengifo, Luis","650859","316","11",29.7,"109.1","89.1","98.9","93","86.8","427","158","395","115",36.9,"24",7.6,5.4
"Berti, Jon","542932","316","2.4",29.7,"110.7","85.4","97.8","91.8","81.9","428","137","410","99",31.3,"15",4.7,3.5
"Turang, Brice","668930","315","12.6",34,"108.3","85.5","96.2","89.8","82.8","417","157","406","85",27,"9",2.9,2
"Mullins, Cedric","656775","310","21.6",27.7,"110.5","88.9","98.8","91.7","89.3","434","171","384","115",37.1,"20",6.5,4.4
"Langeliers, Shea","669127","308","19.6",30.8,"113.4","90.6","101.9","96.1","86.8","456","173","409","137",44.5,"41",13.3,8.4
"Blackmon, Charlie","453568","308","18.1",39,"108.5","86.4","97.6","89.9","84.4","463","175","411","97",31.5,"15",4.9,3.6
"Gomes, Yan","543228","308","15.1",37,"109.7","87.4","98.5","92.1","83","413","175","393","112",36.4,"24",7.8,5.7
"Outman, James","681546","306","15.7",38.2,"111.4","87.9","100","91.8","83.6","436","175","394","122",39.9,"34",11.1,6
"Andrus, Elvis","462101","306","5.5",27.8,"109.4","87.5","97.9","89","87.5","439","129","401","95",31,"8",2.6,2
"Casas, Triston","671213","305","15.7",36.1,"113.2","91.1","102.6","95.2","86","442","185","405","142",46.6,"40",13.1,8
"Conforto, Michael","624424","304","11.9",31.9,"109.7","88.9","100.1","93.5","85.5","429","166","394","121",39.8,"24",7.9,5.1
"Carpenter, Kerry","681481","304","13.1",37.2,"109.3","90.1","99.8","95.1","85.3","434","172","386","133",44,"31",10.2,6.8
"Joe, Connor","656582","304","16.7",37.2,"111.6","88.9","100","92","88.7","428","177","405","127",41.8,"25",8.2,5.3
"Call, Alex","669743","302","17",29.5,"108.5","86.8","97.4","90.8","84","428","165","397","91",30.1,"16",5.3,3.6
"Solano, Donovan","456781","295","13.1",43.1,"109.8","90.2","100.1","92.8","88.3","420","175","398","129",43.7,"18",6.1,4
"Rooker, Brent","667670","295","17.6",37.3,"112.6","91.6","102.7","95.4","86.3","462","203","406","146",49.5,"46",15.6,8.7
"McCutchen, Andrew","457705","294","12.3",33.7,"109.8","89.6","100.3","94.2","85.3","442","168","390","131",44.6,"20",6.8,4.2
"Thomas, Alek","677950","293","2.2",28.3,"110.9","88.9","99.8","93.4","86.2","432","129","392","122",41.6,"15",5.1,3.7
"Olivares, Edward","658668","292","12.2",34.2,"111","87.3","99.1","91.8","85","452","160","416","110",37.7,"23",7.9,6
"Martinez, J.D.","502110","292","16.9",41.1,"112.1","93.4","103.5","97.3","87.7","438","205","398","161",55.1,"50",17.1,10.4
"Cooper, Garrett","643265","292","13.3",40.4,"110.9","89","100.5","93.7","83.8","439","175","403","120",41.1,"30",10.3,6.6
"Altuve, Jose","514888","290","11.4",29.3,"109.6","86","97.9","92.7","82.5","429","144","400","91",31.4,"24",8.3,5.9
"Ibáñez, Andy","628451","289","12.9",32.9,"109.6","89.1","99.9","92.1","88","427","166","402","124",42.9,"26",9,6.8
"Kiermaier, Kevin","595281","289","5.6",29.4,"107.8","86.7","98","88.7","86.3","438","131","390","96",33.2,"10",3.5,2.5
"Duran, Ezequiel","677649","289","14",36,"115.2","90.1","101.6","93.7","87.9","443","169","414","127",43.9,"25",8.7,5.7
"McCormick, Chas","676801","289","14.6",38.4,"109.4","88","98.9","92.5","82.6","435","180","389","112",38.8,"32",11.1,7
"Diaz, Yainer","673237","287","11.5",36.9,"110.9","90.3","101.6","94.9","85.9","453","173","397","126",43.9,"35",12.2,9.3
"Ward, Taylor","621493","282","14.3",34,"111.4","90.7","100.3","93.1","88.8","417","178","395","123",43.9,"23",8.2,5.6
"Suwinski, Jack","669261","281","22.4",34.2,"114.7","90.5","102.2","93.8","86.5","461","205","413","122",43.4,"44",15.7,8.2
"Grandal, Yasmani","518735","279","10.8",32.3,"110.4","87.9","98.3","91.4","85.2","428","162","398","96",34.4,"13",4.7,3.2
"Peterson, Jace","607054","278","14.4",32.7,"110.1","85.7","96.5","90.5","80.7","422","165","399","78",28.1,"13",4.7,3
"Rizzo, Anthony","519203","277","17.8",41.2,"110.6","90","99.2","92.3","87.8","424","186","377","104",37.5,"19",6.9,4.5
"Donovan, Brendan","680977","276","10.6",37.3,"109.1","89.3","99.4","93.5","86.3","416","157","394","112",40.6,"16",5.8,4.3
"Murphy, Sean","669221","273","13.1",38.1,"114.7","91.5","103.3","96.4","86.7","459","180","409","125",45.8,"44",16.1,10
"Alvarez, Francisco","682626","273","12.5",28.6,"114.1","90.1","101.7","95.7","86.9","467","165","409","123",45.1,"35",12.8,8.3
"Heyward, Jason","518792","273","15.4",33,"112.7","87.7","99.3","92.2","86.5","424","165","391","102",37.4,"22",8.1,5.8
"Burleson, Alec","676475","273","12.4",36.3,"110.6","89.9","99.9","93.4","86.1","427","168","387","112",41,"16",5.9,4.6
"Moreno, Gabriel","672515","273","4.2",32.6,"109.7","89.8","99.7","92.6","88.1","417","136","386","114",41.8,"13",4.8,3.4
"Pederson, Joc","592626","272","15.2",33.1,"116.6","92.1","103","96.4","88.4","432","184","397","142",52.2,"33",12.1,7.8
"O'Hearn, Ryan","656811","268","12",35.1,"109.7","91.9","101.5","95.9","88.3","424","170","385","138",51.5,"27",10.1,7.3
"Greene, Riley","682985","266","6.6",36.8,"114.4","91.6","103","96.1","86.9","453","156","403","125",47.3,"30",11.3,7.2
"Fraley, Jake","641584","266","16.5",38,"111.7","84.6","97.1","88.5","82.4","419","172","384","82",30.8,"17",6.4,4.5
"Moustakas, Mike","519058","265","18",28.3,"112.9","89","99.3","92.5","88","454","177","410","99",37.9,"15",5.7,3.9
"Marsh, Brandon","669016","265","12.4",37.4,"110.6","91.3","100.7","94.9","87.6","436","169","408","129",48.7,"24",9.1,5.1
"Bader, Harrison","664056","265","17.8",32.8,"110.2","85.9","97.6","89.8","84.9","436","169","394","84",31.7,"14",5.3,4.1
"Castro, Willi","650489","264","15.1",34.5,"114.2","86.5","98.7","91.4","82.9","440","166","403","84",31.8,"18",6.8,4.4
"Cabrera, Miguel","408234","263","7.4",34.2,"111.5","89.1","99","91.8","87.8","438","146","408","99",37.6,"11",4.2,3
"Grossman, Robbie","543257","263","20.2",32.3,"109","88.2","98.4","91.9","84.5","414","190","386","98",37.3,"18",6.8,4.3
"Lowe, Brandon","664040","261","16",32.6,"110.7","91.4","101.4","95.3","88.6","433","178","401","124",47.5,"28",10.7,6.4
"Kiner-Falefa, Isiah","643396","260","7.2",33.5,"109.6","88.8","99.1","90.6","88.6","404","139","376","102",39.2,"8",3.1,2.2
"Urías, Ramón","602104","260","7.9",30.4,"109.5","89.2","99.1","92","87.7","411","139","392","99",38.1,"18",6.9,4.5
"Gorman, Nolan","669357","260","22.2",38.8,"112.3","91","102","95.7","84.1","446","203","411","126",48.5,"43",16.5,9.3
"Morel, Christopher","666624","258","12.4",29.5,"113.6","92.1","103.5","97.1","88.6","466","175","412","129",50,"41",15.9,9.6
"Sánchez, Jesús","660821","255","5.6",32.9,"114.8","90.4","103.2","96","87.1","461","145","415","118",46.3,"31",12.2,7.7
"Tauchman, Mike","643565","255","8.1",37.6,"109.4","88.4","99.3","93","84.7","410","155","390","102",40,"14",5.5,3.5
