Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2024,"Kyle Isbel","KCR",98,0,0,0,0.177083333,0.173469387,0.520833333,0.69430272,0.34375,0.109890109,9.091553416239657,-2.371865350616536,0.2801065347632583,76.35692244690514,21614
2024,"Alec Bohm","PHI",156,0,0,0,0.236842105,0.23076923,0.644736842,0.875506072,0.407894737,0.14893617,24.019558728566594,5.771667630305716,0.35614425784502274,128.7822833912865,21618
2024,"Jake McCarthy","ARI",102,0,0,0,0.18,0.176470588,0.49,0.666470588,0.31,0.106382978,8.800490678216946,-3.1308227321843987,0.27204110458785413,71.13027407551955,21622
2024,"Jeremy Pena","HOU",156,0,0,0,0.197368421,0.192307692,0.59868421,0.790991902,0.401315789,0.106382978,19.431656425254985,1.183765326994104,0.3196047116548587,110.15676297309594,21636
2024,"Miguel Amaya","CHC",97,0,0,0,0.170212765,0.164948453,0.489361702,0.654310155,0.319148937,0.08988764,7.774583530912274,-3.5718615750576324,0.2644262535055888,70.18504355262502,21693
2024,"Oswaldo Cabrera","NYY",87,0,0,0,0.149425287,0.149425287,0.436781609,0.586206896,0.287356322,0.075,5.462417824359041,-4.714290672747988,0.2428526987974671,54.61232093928314,21707
2024,"Oneil Cruz","PIT",123,0,0,0,0.35,0.341463414,1.033333333,1.374796747,0.683333333,0.205882352,38.865871138463284,24.4781108494499,0.5574325536324726,262.26521055749726,21711
2024,"Enmanuel Valdez","BOS",72,0,0,0,0.25,0.236111111,0.661764705,0.897875816,0.411764705,0.166666666,11.151198453293516,2.729094869480801,0.3572701844904158,129.3124899447556,21716
2024,"Freddy Fermin","KCR",83,0,0,0,0.125,0.120481927,0.4,0.520481927,0.275,0.051948051,2.9241796730769223,-6.784634180484956,0.2086169978222215,26.06599796836577,21840
2024,"Will Benson","CIN",84,0,0,0,0.243902439,0.238095238,0.81707317,1.055168408,0.573170731,0.085714285,17.70802020439812,7.882232689949953,0.42676205436388653,170.42798382241904,21853
2024,"Bo Naylor","CLE",111,0,0,0,0.19090909,0.189189189,0.6,0.789189189,0.40909091,0.081632653,14.16534269234766,1.1812663339697258,0.3233988585772815,112.52397976762008,21865
2024,"Christopher Morel","2 Tms",153,0,0,0,0.213333333,0.209150326,0.706666666,0.915816992,0.493333333,0.083333333,25.359005191743574,7.462035076141558,0.37077218956417507,143.2095344844501,21897
2024,"Mark Vientos","NYM",101,0,0,0,0.326530612,0.316831683,1.153061224,1.469892907,0.826530612,0.08,34.6483094028487,22.833969653333646,0.5910651081859475,291.006742347107,22184
2024,"Brice Turang","MIL",116,0,0,0,0.131578947,0.129310344,0.394736842,0.524047186,0.263157895,0.073394495,4.504034985500201,-9.06490967730917,0.21308579629865185,32.71210535446262,22186
2024,"MJ Melendez","KCR",123,0,0,0,0.211382113,0.211382113,0.658536585,0.869918698,0.447154472,0.093457943,19.27145539636879,4.883695107355406,0.35950748997975174,132.21331225133247,22197
2024,"Luis Campusano","SDP",84,0,0,0,0.142857142,0.142857142,0.464285714,0.607142856,0.321428572,0.052631578,5.790805593954239,-4.034981920493927,0.2504958467824118,61.94017602743146,22217
2024,"Jack Suwinski","PIT",60,0,0,0,0.20338983,0.2,0.661016949,0.861016949,0.457627119,0.076923076,8.975095426600742,1.9566757734234799,0.35069418549537656,123.11691881272897,22244
2024,"Nolan Gorman","STL",106,0,0,0,0.307692307,0.301886792,0.913461538,1.21534833,0.605769231,0.159090909,28.264900197847965,15.865692143901468,0.496139905362759,225.06564525483742,22263
2024,"Jake Burger","MIA",158,0,0,0,0.282051282,0.278481012,0.929487179,1.207968191,0.647435897,0.116279069,41.691431304443405,23.209592884409943,0.4926857088185564,218.65114477688496,22275
2024,"Taylor Walls","TBR",69,0,0,0,0.075757575,0.072463768,0.181818181,0.254281949,0.106060606,0.058823529,-3.496579398167219,-11.56776199932107,0.10188421995743462,-40.49857757364047,22458
2024,"Heliot Ramos","SFG",127,0,0,0,0.296,0.291338582,0.952,1.243338582,0.656,0.142857142,34.79690625256493,19.941251320006394,0.5052610983060101,231.7039641907701,22515
2024,"Tyler Freeman","CLE",106,0,0,0,0.13592233,0.132075471,0.417475728,0.549551199,0.281553398,0.07070707,4.821172048835147,-7.578036005111348,0.22135403471172982,40.73825069399312,22532
